"cpv_code","cpv_label","level","division_code","division_label","parent_code","parent_label","category","related_concepts","embedding_text"
"16500000-0","Self-loading or unloading trailers and semi-trailers for agriculture","3","16000000-5","Agricultural machinery","16000000-5","Agricultural machinery","Agricultural machinery","self; loading; trailers; agriculture; unloading; semi","CPV code: 16500000-0
Label: Self-loading or unloading trailers and semi-trailers for agriculture
Category: Agricultural machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Self-loading or unloading trailers and semi-trailers for agriculture
Related concepts: self; loading; trailers; agriculture; unloading; semi"
"16510000-3","Self-loading trailers for agriculture","4","16000000-5","Agricultural machinery","16500000-0","Self-loading or unloading trailers and semi-trailers for agriculture","Self-loading or unloading trailers and semi-trailers for agriculture","unloading; trailers; agriculture; self; loading; semi","CPV code: 16510000-3
Label: Self-loading trailers for agriculture
Category: Self-loading or unloading trailers and semi-trailers for agriculture
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Self-loading or unloading trailers and semi-trailers for agriculture > Self-loading trailers for agriculture
Related concepts: unloading; trailers; agriculture; self; loading; semi"
"16520000-6","Unloading trailers for agriculture","4","16000000-5","Agricultural machinery","16500000-0","Self-loading or unloading trailers and semi-trailers for agriculture","Self-loading or unloading trailers and semi-trailers for agriculture","self; loading; trailers; agriculture; semi; unloading","CPV code: 16520000-6
Label: Unloading trailers for agriculture
Category: Self-loading or unloading trailers and semi-trailers for agriculture
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Self-loading or unloading trailers and semi-trailers for agriculture > Unloading trailers for agriculture
Related concepts: self; loading; trailers; agriculture; semi; unloading"
"16530000-9","Self-loading semi-trailers for agriculture","4","16000000-5","Agricultural machinery","16500000-0","Self-loading or unloading trailers and semi-trailers for agriculture","Self-loading or unloading trailers and semi-trailers for agriculture","self; loading; trailers; agriculture; unloading; semi","CPV code: 16530000-9
Label: Self-loading semi-trailers for agriculture
Category: Self-loading or unloading trailers and semi-trailers for agriculture
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Self-loading or unloading trailers and semi-trailers for agriculture > Self-loading semi-trailers for agriculture
Related concepts: self; loading; trailers; agriculture; unloading; semi"
"16540000-2","Unloading semi-trailers for agriculture","4","16000000-5","Agricultural machinery","16500000-0","Self-loading or unloading trailers and semi-trailers for agriculture","Self-loading or unloading trailers and semi-trailers for agriculture","self; loading; trailers; agriculture; unloading; semi","CPV code: 16540000-2
Label: Unloading semi-trailers for agriculture
Category: Self-loading or unloading trailers and semi-trailers for agriculture
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Self-loading or unloading trailers and semi-trailers for agriculture > Unloading semi-trailers for agriculture
Related concepts: self; loading; trailers; agriculture; unloading; semi"
"16600000-1","Specialist agricultural or forestry machinery","3","16000000-5","Agricultural machinery","16000000-5","Agricultural machinery","Agricultural machinery","machines; cleaning; sorting; grading; eggs; fruit; produce; milking; specialist; agricultural","CPV code: 16600000-1
Label: Specialist agricultural or forestry machinery
Category: Agricultural machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery
Related concepts: machines; cleaning; sorting; grading; eggs; fruit; produce; milking; specialist; agricultural"
"16610000-4","Machines for cleaning, sorting or grading eggs, fruit or other produce","4","16000000-5","Agricultural machinery","16600000-1","Specialist agricultural or forestry machinery","Specialist agricultural or forestry machinery","machines; cleaning; produce; sorting; grading; seed; grain; dried; eggs; fruit","CPV code: 16610000-4
Label: Machines for cleaning, sorting or grading eggs, fruit or other produce
Category: Specialist agricultural or forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery > Machines for cleaning, sorting or grading eggs, fruit or other produce
Related concepts: machines; cleaning; produce; sorting; grading; seed; grain; dried; eggs; fruit"
"16620000-7","Milking machines","4","16000000-5","Agricultural machinery","16600000-1","Specialist agricultural or forestry machinery","Specialist agricultural or forestry machinery","machines; cleaning; sorting; grading; eggs; fruit; produce; machinery; milking","CPV code: 16620000-7
Label: Milking machines
Category: Specialist agricultural or forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery > Milking machines
Related concepts: machines; cleaning; sorting; grading; eggs; fruit; produce; machinery; milking"
"16630000-0","Machinery for preparing animal feeding stuffs","4","16000000-5","Agricultural machinery","16600000-1","Specialist agricultural or forestry machinery","Specialist agricultural or forestry machinery","machines; cleaning; sorting; grading; eggs; fruit; produce; milking; machinery; preparing","CPV code: 16630000-0
Label: Machinery for preparing animal feeding stuffs
Category: Specialist agricultural or forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery > Machinery for preparing animal feeding stuffs
Related concepts: machines; cleaning; sorting; grading; eggs; fruit; produce; milking; machinery; preparing"
"16640000-3","Bee-keeping machinery","4","16000000-5","Agricultural machinery","16600000-1","Specialist agricultural or forestry machinery","Specialist agricultural or forestry machinery","machines; cleaning; sorting; grading; eggs; fruit; produce; milking; bee; keeping","CPV code: 16640000-3
Label: Bee-keeping machinery
Category: Specialist agricultural or forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery > Bee-keeping machinery
Related concepts: machines; cleaning; sorting; grading; eggs; fruit; produce; milking; bee; keeping"
"16650000-6","Poultry-keeping machinery","4","16000000-5","Agricultural machinery","16600000-1","Specialist agricultural or forestry machinery","Specialist agricultural or forestry machinery","poultry; incubators; brooders; keeping; machinery","CPV code: 16650000-6
Label: Poultry-keeping machinery
Category: Specialist agricultural or forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Specialist agricultural or forestry machinery > Poultry-keeping machinery
Related concepts: poultry; incubators; brooders; keeping; machinery"
"16700000-2","Tractors","3","16000000-5","Agricultural machinery","16000000-5","Agricultural machinery","Agricultural machinery","pedestrian; controlled; agricultural; tractors; used; traction; motors","CPV code: 16700000-2
Label: Tractors
Category: Agricultural machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Tractors
Related concepts: pedestrian; controlled; agricultural; tractors; used; traction; motors"
"16710000-5","Pedestrian-controlled agricultural tractors","4","16000000-5","Agricultural machinery","16700000-2","Tractors","Tractors","used; tractors; traction; motors; pedestrian; controlled; agricultural","CPV code: 16710000-5
Label: Pedestrian-controlled agricultural tractors
Category: Tractors
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Tractors > Pedestrian-controlled agricultural tractors
Related concepts: used; tractors; traction; motors; pedestrian; controlled; agricultural"
"16720000-8","Used tractors","4","16000000-5","Agricultural machinery","16700000-2","Tractors","Tractors","pedestrian; controlled; agricultural; tractors; traction; motors; used","CPV code: 16720000-8
Label: Used tractors
Category: Tractors
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Tractors > Used tractors
Related concepts: pedestrian; controlled; agricultural; tractors; traction; motors; used"
"16730000-1","Traction motors","4","16000000-5","Agricultural machinery","16700000-2","Tractors","Tractors","pedestrian; controlled; agricultural; tractors; used; traction; motors","CPV code: 16730000-1
Label: Traction motors
Category: Tractors
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Tractors > Traction motors
Related concepts: pedestrian; controlled; agricultural; tractors; used; traction; motors"
"16800000-3","Parts of agricultural and forestry machinery","3","16000000-5","Agricultural machinery","16000000-5","Agricultural machinery","Agricultural machinery","agricultural; machinery; forestry","CPV code: 16800000-3
Label: Parts of agricultural and forestry machinery
Category: Agricultural machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Parts of agricultural and forestry machinery
Related concepts: agricultural; machinery; forestry"
"16810000-6","Parts of agricultural machinery","4","16000000-5","Agricultural machinery","16800000-3","Parts of agricultural and forestry machinery","Parts of agricultural and forestry machinery","forestry; machinery; agricultural","CPV code: 16810000-6
Label: Parts of agricultural machinery
Category: Parts of agricultural and forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Parts of agricultural and forestry machinery > Parts of agricultural machinery
Related concepts: forestry; machinery; agricultural"
"16820000-9","Parts of forestry machinery","4","16000000-5","Agricultural machinery","16800000-3","Parts of agricultural and forestry machinery","Parts of agricultural and forestry machinery","agricultural; machinery; forestry","CPV code: 16820000-9
Label: Parts of forestry machinery
Category: Parts of agricultural and forestry machinery
Division: Agricultural machinery
Hierarchy: Agricultural machinery > Parts of agricultural and forestry machinery > Parts of forestry machinery
Related concepts: agricultural; machinery; forestry"
"18000000-9","Clothing, footwear, luggage articles and accessories","2","18000000-9","Clothing, footwear, luggage articles and accessories","","","Clothing, footwear, luggage articles and accessories","occupational; clothing; workwear; accessories; outerwear; garments; jewellery; watches; footwear; luggage","CPV code: 18000000-9
Label: Clothing, footwear, luggage articles and accessories
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories
Related concepts: occupational; clothing; workwear; accessories; outerwear; garments; jewellery; watches; footwear; luggage"
"18100000-0","Occupational clothing, special workwear and accessories","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","occupational; clothing; workwear; accessories","CPV code: 18100000-0
Label: Occupational clothing, special workwear and accessories
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Occupational clothing, special workwear and accessories
Related concepts: occupational; clothing; workwear; accessories"
"18110000-3","Occupational clothing","4","18000000-9","Clothing, footwear, luggage articles and accessories","18100000-0","Occupational clothing, special workwear and accessories","Occupational clothing, special workwear and accessories","industrial; clothing; coveralls; occupational","CPV code: 18110000-3
Label: Occupational clothing
Category: Occupational clothing, special workwear and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Occupational clothing, special workwear and accessories > Occupational clothing
Related concepts: industrial; clothing; coveralls; occupational"
"18130000-9","Special workwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18100000-0","Occupational clothing, special workwear and accessories","Occupational clothing, special workwear and accessories","flying; clothing; workwear","CPV code: 18130000-9
Label: Special workwear
Category: Occupational clothing, special workwear and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Occupational clothing, special workwear and accessories > Special workwear
Related concepts: flying; clothing; workwear"
"18140000-2","Workwear accessories","4","18000000-9","Clothing, footwear, luggage articles and accessories","18100000-0","Occupational clothing, special workwear and accessories","Occupational clothing, special workwear and accessories","gloves; safety; visors; protective; gear; workwear; accessories","CPV code: 18140000-2
Label: Workwear accessories
Category: Occupational clothing, special workwear and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Occupational clothing, special workwear and accessories > Workwear accessories
Related concepts: gloves; safety; visors; protective; gear; workwear; accessories"
"18200000-1","Outerwear","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","coats; weatherproof; clothing; outerwear","CPV code: 18200000-1
Label: Outerwear
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Outerwear
Related concepts: coats; weatherproof; clothing; outerwear"
"18210000-4","Coats","4","18000000-9","Clothing, footwear, luggage articles and accessories","18200000-1","Outerwear","Outerwear","capes; cloaks; wind; jackets; coats","CPV code: 18210000-4
Label: Coats
Category: Outerwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Outerwear > Coats
Related concepts: capes; cloaks; wind; jackets; coats"
"18220000-7","Weatherproof clothing","4","18000000-9","Clothing, footwear, luggage articles and accessories","18200000-1","Outerwear","Outerwear","waterproof; clothing; corporate; jackets; blazers; made; coated; impregnated; weatherproof","CPV code: 18220000-7
Label: Weatherproof clothing
Category: Outerwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Outerwear > Weatherproof clothing
Related concepts: waterproof; clothing; corporate; jackets; blazers; made; coated; impregnated; weatherproof"
"18230000-0","Miscellaneous outerwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18200000-1","Outerwear","Outerwear","dresses; skirts; shorts; trousers; pullovers; cardigans; similar; articles; outerwear","CPV code: 18230000-0
Label: Miscellaneous outerwear
Category: Outerwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Outerwear > Miscellaneous outerwear
Related concepts: dresses; skirts; shorts; trousers; pullovers; cardigans; similar; articles; outerwear"
"18300000-2","Garments","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","underwear; brassieres; corsets; suspenders; similar; articles; shirts; garments","CPV code: 18300000-2
Label: Garments
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Garments
Related concepts: underwear; brassieres; corsets; suspenders; similar; articles; shirts; garments"
"18310000-5","Underwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18300000-2","Garments","Garments","slips; underpants; panties; bathrobes; stockings; tights; underwear","CPV code: 18310000-5
Label: Underwear
Category: Garments
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Garments > Underwear
Related concepts: slips; underpants; panties; bathrobes; stockings; tights; underwear"
"18320000-8","Brassieres, corsets, suspenders and similar articles","4","18000000-9","Clothing, footwear, luggage articles and accessories","18300000-2","Garments","Garments","brassieres; corsets; suspenders; similar; articles","CPV code: 18320000-8
Label: Brassieres, corsets, suspenders and similar articles
Category: Garments
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Garments > Brassieres, corsets, suspenders and similar articles
Related concepts: brassieres; corsets; suspenders; similar; articles"
"18330000-1","T-shirts and shirts","4","18000000-9","Clothing, footwear, luggage articles and accessories","18300000-2","Garments","Garments","shirts; polo","CPV code: 18330000-1
Label: T-shirts and shirts
Category: Garments
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Garments > T-shirts and shirts
Related concepts: shirts; polo"
"18400000-3","Special clothing and accessories","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","clothing; accessories; hats; headgear; fasteners","CPV code: 18400000-3
Label: Special clothing and accessories
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Special clothing and accessories
Related concepts: clothing; accessories; hats; headgear; fasteners"
"18410000-6","Special clothing","4","18000000-9","Clothing, footwear, luggage articles and accessories","18400000-3","Special clothing and accessories","Special clothing and accessories","baby; clothing; sportswear","CPV code: 18410000-6
Label: Special clothing
Category: Special clothing and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Special clothing and accessories > Special clothing
Related concepts: baby; clothing; sportswear"
"18420000-9","Clothing accessories","4","18000000-9","Clothing, footwear, luggage articles and accessories","18400000-3","Special clothing and accessories","Special clothing and accessories","handkerchiefs; scarves; ties; gloves; belts; clothing; accessories","CPV code: 18420000-9
Label: Clothing accessories
Category: Special clothing and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Special clothing and accessories > Clothing accessories
Related concepts: handkerchiefs; scarves; ties; gloves; belts; clothing; accessories"
"18440000-5","Hats and headgear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18400000-3","Special clothing and accessories","Special clothing and accessories","hats; headgear; accessories; protective","CPV code: 18440000-5
Label: Hats and headgear
Category: Special clothing and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Special clothing and accessories > Hats and headgear
Related concepts: hats; headgear; accessories; protective"
"18450000-8","Fasteners (clothing)","4","18000000-9","Clothing, footwear, luggage articles and accessories","18400000-3","Special clothing and accessories","Special clothing and accessories","buttons; safety; pins; zip; fasteners; clothing","CPV code: 18450000-8
Label: Fasteners (clothing)
Category: Special clothing and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Special clothing and accessories > Fasteners (clothing)
Related concepts: buttons; safety; pins; zip; fasteners; clothing"
"18500000-4","Jewellery, watches and related articles","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","jewellery; articles; personal; horology; presents; rewards; watches","CPV code: 18500000-4
Label: Jewellery, watches and related articles
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Jewellery, watches and related articles
Related concepts: jewellery; articles; personal; horology; presents; rewards; watches"
"18510000-7","Jewellery and related articles","4","18000000-9","Clothing, footwear, luggage articles and accessories","18500000-4","Jewellery, watches and related articles","Jewellery, watches and related articles","precious; stone; jewellery; coins; medals; articles","CPV code: 18510000-7
Label: Jewellery and related articles
Category: Jewellery, watches and related articles
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Jewellery, watches and related articles > Jewellery and related articles
Related concepts: precious; stone; jewellery; coins; medals; articles"
"18520000-0","Personal horology","4","18000000-9","Clothing, footwear, luggage articles and accessories","18500000-4","Jewellery, watches and related articles","Jewellery, watches and related articles","watches; wristwatches; stopwatches; personal; horology","CPV code: 18520000-0
Label: Personal horology
Category: Jewellery, watches and related articles
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Jewellery, watches and related articles > Personal horology
Related concepts: watches; wristwatches; stopwatches; personal; horology"
"18530000-3","Presents and rewards","4","18000000-9","Clothing, footwear, luggage articles and accessories","18500000-4","Jewellery, watches and related articles","Jewellery, watches and related articles","jewellery; articles; personal; horology; presents; rewards","CPV code: 18530000-3
Label: Presents and rewards
Category: Jewellery, watches and related articles
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Jewellery, watches and related articles > Presents and rewards
Related concepts: jewellery; articles; personal; horology; presents; rewards"
"18600000-5","Furs and articles of fur","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","fur; articles; furs","CPV code: 18600000-5
Label: Furs and articles of fur
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Furs and articles of fur
Related concepts: fur; articles; furs"
"18610000-8","Fur articles","4","18000000-9","Clothing, footwear, luggage articles and accessories","18600000-5","Furs and articles of fur","Furs and articles of fur","fur; skins; clothing; artificial; articles","CPV code: 18610000-8
Label: Fur articles
Category: Furs and articles of fur
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Furs and articles of fur > Fur articles
Related concepts: fur; skins; clothing; artificial; articles"
"18620000-1","Furs","4","18000000-9","Clothing, footwear, luggage articles and accessories","18600000-5","Furs and articles of fur","Furs and articles of fur","fur; articles; furs","CPV code: 18620000-1
Label: Furs
Category: Furs and articles of fur
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Furs and articles of fur > Furs
Related concepts: fur; articles; furs"
"18800000-7","Footwear","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","footwear; than; sports; protective","CPV code: 18800000-7
Label: Footwear
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Footwear
Related concepts: footwear; than; sports; protective"
"18810000-0","Footwear other than sports and protective footwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18800000-7","Footwear","Footwear","waterproof; footwear; rubber; plastic; uppers; leather; textile; materials; than; sports","CPV code: 18810000-0
Label: Footwear other than sports and protective footwear
Category: Footwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Footwear > Footwear other than sports and protective footwear
Related concepts: waterproof; footwear; rubber; plastic; uppers; leather; textile; materials; than; sports"
"18820000-3","Sports footwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18800000-7","Footwear","Footwear","ski; footwear; training; shoes; climbing; boots; football; sports","CPV code: 18820000-3
Label: Sports footwear
Category: Footwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Footwear > Sports footwear
Related concepts: ski; footwear; training; shoes; climbing; boots; football; sports"
"18830000-6","Protective footwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18800000-7","Footwear","Footwear","footwear; incorporating; protective; metal; toecap","CPV code: 18830000-6
Label: Protective footwear
Category: Footwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Footwear > Protective footwear
Related concepts: footwear; incorporating; protective; metal; toecap"
"18840000-9","Parts of footwear","4","18000000-9","Clothing, footwear, luggage articles and accessories","18800000-7","Footwear","Footwear","footwear; uppers; soles; heels","CPV code: 18840000-9
Label: Parts of footwear
Category: Footwear
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Footwear > Parts of footwear
Related concepts: footwear; uppers; soles; heels"
"18900000-8","Luggage, saddlery, sacks and bags","3","18000000-9","Clothing, footwear, luggage articles and accessories","18000000-9","Clothing, footwear, luggage articles and accessories","Clothing, footwear, luggage articles and accessories","saddlery; luggage; sacks; bags","CPV code: 18900000-8
Label: Luggage, saddlery, sacks and bags
Category: Clothing, footwear, luggage articles and accessories
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Luggage, saddlery, sacks and bags
Related concepts: saddlery; luggage; sacks; bags"
"18910000-1","Saddlery","4","18000000-9","Clothing, footwear, luggage articles and accessories","18900000-8","Luggage, saddlery, sacks and bags","Luggage, saddlery, sacks and bags","saddles; riding; crops; whips; saddlery","CPV code: 18910000-1
Label: Saddlery
Category: Luggage, saddlery, sacks and bags
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Luggage, saddlery, sacks and bags > Saddlery
Related concepts: saddles; riding; crops; whips; saddlery"
"18920000-4","Luggage","4","18000000-9","Clothing, footwear, luggage articles and accessories","18900000-8","Luggage, saddlery, sacks and bags","Luggage, saddlery, sacks and bags","suitcases; pouches; wallets; trunks; water; bottle; holders; holsters; luggage","CPV code: 18920000-4
Label: Luggage
Category: Luggage, saddlery, sacks and bags
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Luggage, saddlery, sacks and bags > Luggage
Related concepts: suitcases; pouches; wallets; trunks; water; bottle; holders; holsters; luggage"
"18930000-7","Sacks and bags","4","18000000-9","Clothing, footwear, luggage articles and accessories","18900000-8","Luggage, saddlery, sacks and bags","Luggage, saddlery, sacks and bags","travel; bags; sports; mail; parcel; kitbags; laundry; textile; sacks","CPV code: 18930000-7
Label: Sacks and bags
Category: Luggage, saddlery, sacks and bags
Division: Clothing, footwear, luggage articles and accessories
Hierarchy: Clothing, footwear, luggage articles and accessories > Luggage, saddlery, sacks and bags > Sacks and bags
Related concepts: travel; bags; sports; mail; parcel; kitbags; laundry; textile; sacks"
"19000000-6","Leather and textile fabrics, plastic and rubber materials","2","19000000-6","Leather and textile fabrics, plastic and rubber materials","","","Leather and textile fabrics, plastic and rubber materials","leather; textile; fabrics; items; yarn; thread; rubber; plastic; materials","CPV code: 19000000-6
Label: Leather and textile fabrics, plastic and rubber materials
Category: Leather and textile fabrics, plastic and rubber materials
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials
Related concepts: leather; textile; fabrics; items; yarn; thread; rubber; plastic; materials"
"19100000-7","Leather","3","19000000-6","Leather and textile fabrics, plastic and rubber materials","19000000-6","Leather and textile fabrics, plastic and rubber materials","Leather and textile fabrics, plastic and rubber materials","chamois; leather; bovine; equine; animals; sheep; goats; pigs","CPV code: 19100000-7
Label: Leather
Category: Leather and textile fabrics, plastic and rubber materials
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather
Related concepts: chamois; leather; bovine; equine; animals; sheep; goats; pigs"
"19110000-0","Chamois leather","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","leather; bovine; equine; animals; sheep; goats; pigs; composite; chamois","CPV code: 19110000-0
Label: Chamois leather
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Chamois leather
Related concepts: leather; bovine; equine; animals; sheep; goats; pigs; composite; chamois"
"19120000-3","Leather of bovine or equine animals","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","chamois; leather; sheep; goats; pigs; animals; composite; watch; bovine; equine","CPV code: 19120000-3
Label: Leather of bovine or equine animals
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Leather of bovine or equine animals
Related concepts: chamois; leather; sheep; goats; pigs; animals; composite; watch; bovine; equine"
"19130000-6","Leather of sheep, goats or pigs","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","sheep; lamb; skin; leather; goat; kid; pig; goats; pigs","CPV code: 19130000-6
Label: Leather of sheep, goats or pigs
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Leather of sheep, goats or pigs
Related concepts: sheep; lamb; skin; leather; goat; kid; pig; goats; pigs"
"19140000-9","Leather of other animals, composite leather and other leather","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","leather; animals; composite; imitation; patent","CPV code: 19140000-9
Label: Leather of other animals, composite leather and other leather
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Leather of other animals, composite leather and other leather
Related concepts: leather; animals; composite; imitation; patent"
"19160000-5","Watch straps","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","chamois; leather; bovine; equine; animals; sheep; goats; pigs; watch; straps","CPV code: 19160000-5
Label: Watch straps
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Watch straps
Related concepts: chamois; leather; bovine; equine; animals; sheep; goats; pigs; watch; straps"
"19170000-8","Leather articles used in machinery or mechanical appliances","4","19000000-6","Leather and textile fabrics, plastic and rubber materials","19100000-7","Leather","Leather","chamois; leather; bovine; equine; animals; sheep; goats; pigs; articles; used","CPV code: 19170000-8
Label: Leather articles used in machinery or mechanical appliances
Category: Leather
Division: Leather and textile fabrics, plastic and rubber materials
Hierarchy: Leather and textile fabrics, plastic and rubber materials > Leather > Leather articles used in machinery or mechanical appliances
Related concepts: chamois; leather; bovine; equine; animals; sheep; goats; pigs; articles; used"
